,section,M,B_tilde,Minimal Gap,Bandwidth,W
0,a,6.5,0.0,0.13602,11.956,4.8
1,a,6.0,0.0,0.11163,10.9611,3.9
2,a,5.5,0.0,0.06556,9.96784,1.976
3,b,2.0,0.0,0.13969,10.94538,4.64
4,b,2.25,0.0,0.11848,10.44859,1.96
5,b,2.5,0.0,0.08144,9.95232,1.764
6,c,10.0,0.85,0.11592,17.67045,1.773
7,c,10.0,0.925,0.06832,17.56706,1.06
8,c,10.0,0.95,0.04378,17.53281,0.35
9,d,6.5,0.0,0.13602,11.956,3.2
10,d,6.0,0.0,0.11163,10.9611,2.5
11,d,5.5,0.0,0.06556,9.96784,2.0
12,e,2.0,0.0,0.13969,10.94538,4.1
13,e,2.25,0.0,0.11848,10.44859,2.33
14,e,2.5,0.0,0.08144,9.95232,1.431
15,f,10.0,0.85,0.11592,17.67045,1.422
16,f,10.0,0.925,0.06832,17.56706,1.06
17,f,10.0,0.95,0.04378,17.53281,0.35
18,g,6.0,0.0,2.32951,104.63223,8.22
19,g,5.0,0.0,1.79295,65.86915,6.8
20,g,4.5,0.0,1.22301,65.82455,5.36
21,h,1.0,0.0,1.90663,38.4362,7.83
22,h,3.0,0.0,1.80414,65.86915,6.06
23,h,3.5,0.0,1.17608,65.82455,5.38
24,i,10.0,1.0,2.22605,62.87925,6.43
25,i,10.0,0.9,1.96823,66.61143,6.0
26,i,10.0,0.8,1.04519,14.81733,5.0
